,Date,predicted
0,2023-11-16,[79471.76]
1,2023-11-17,[79675.664]
2,2023-11-20,[80068.22]
3,2023-11-21,[81375.58]
4,2023-11-22,[82409.58]
5,2023-11-23,[82482.71]
6,2023-11-24,[79069.75]
7,2023-11-27,[78195.586]
8,2023-11-28,[82247.414]
9,2023-11-29,[82945.41]
10,2023-11-30,[82546.82]
11,2023-12-01,[81699.75]
12,2023-12-04,[80376.016]
13,2023-12-05,[80950.]
14,2023-12-06,[79897.08]
15,2023-12-07,[82452.64]
16,2023-12-08,[84164.36]
17,2023-12-11,[84774.09]
18,2023-12-12,[85003.14]
19,2023-12-13,[85480.02]
20,2023-12-14,[85348.2]
21,2023-12-15,[85224.43]
22,2023-12-18,[85989.11]
23,2023-12-19,[85726.85]
24,2023-12-20,[85577.]
25,2023-12-21,[82357.83]
26,2023-12-22,[83586.164]
27,2023-12-25,[85446.62]
28,2023-12-26,[86963.516]
29,2023-12-27,[87630.234]
30,2023-12-28,[87465.9]
31,2023-12-29,[85618.766]
32,2024-01-02,[84393.16]
33,2024-01-03,[88225.38]
34,2024-01-04,[89227.055]
35,2024-01-05,[89029.61]
36,2024-01-08,[87927.56]
37,2024-01-09,[87748.305]
38,2024-01-10,[89383.12]
39,2024-01-11,[89306.695]
40,2024-01-12,[89410.95]
41,2024-01-15,[89087.54]
42,2024-01-16,[89441.84]
43,2024-01-17,[89456.15]
44,2024-01-18,[89595.414]
45,2024-01-19,[89682.48]
46,2024-01-22,[89006.195]
47,2024-01-23,[87571.15]
48,2024-01-24,[86033.74]
49,2024-01-25,[87001.94]
50,2024-01-26,[86200.83]
51,2024-01-29,[85460.08]
52,2024-01-30,[83698.87]
53,2024-01-31,[82993.586]
54,2024-02-01,[82894.984]
55,2024-02-02,[86627.91]
56,2024-02-05,[84455.266]
57,2024-02-06,[88269.48]
58,2024-02-07,[89894.21]
59,2024-02-15,[89900.93]
60,2024-02-16,[89974.95]
61,2024-02-19,[91577.21]
62,2024-02-20,[92561.31]
63,2024-02-21,[93387.02]
64,2024-02-22,[92476.24]
65,2024-02-23,[93360.91]
66,2024-02-26,[92643.41]
67,2024-02-27,[92232.]
68,2024-02-28,[91155.74]
69,2024-02-29,[90878.64]
70,2024-03-01,[90012.63]
71,2024-03-04,[90152.04]
72,2024-03-05,[89125.555]
73,2024-03-06,[89123.805]
74,2024-03-07,[89558.164]
75,2024-03-08,[89717.09]
76,2024-03-11,[89422.25]
77,2024-03-12,[87852.3]
78,2024-03-13,[89126.89]
79,2024-03-14,[89295.89]
80,2024-03-15,[89631.94]
81,2024-03-18,[91154.5]
82,2024-03-19,[91097.25]
83,2024-03-20,[91459.78]
84,2024-03-21,[90350.62]
85,2024-03-22,[90871.71]
86,2024-03-25,[89651.34]
87,2024-03-26,[87676.47]
88,2024-03-27,[89493.23]
89,2024-03-28,[91854.84]
90,2024-03-29,[91512.72]
91,2024-04-01,[92806.58]
92,2024-04-02,[88153.52]
93,2024-04-03,[88929.86]
94,2024-04-04,[88116.164]
95,2024-04-05,[87964.74]
96,2024-04-08,[88378.2]
97,2024-04-09,[88040.63]
98,2024-04-10,[88587.15]
99,2024-04-11,[88308.62]
100,2024-04-12,[87773.53]
101,2024-04-15,[88415.81]
102,2024-04-16,[88952.32]
103,2024-04-17,[88783.055]
104,2024-04-19,[90097.945]
105,2024-04-22,[90428.86]
106,2024-04-23,[90100.98]
107,2024-04-24,[90671.34]
108,2024-04-25,[90125.99]
109,2024-04-26,[90165.94]
110,2024-05-02,[90259.53]
111,2024-05-03,[89168.77]
112,2024-05-06,[90831.89]
113,2024-05-07,[89768.92]
114,2024-05-08,[89864.516]
115,2024-05-09,[90170.195]
116,2024-05-10,[90244.52]
117,2024-05-13,[87448.266]
118,2024-05-14,[87236.61]
119,2024-05-15,[88160.07]
120,2024-05-16,[87239.35]
121,2024-05-17,[87060.25]
